NOTICIA DE REFERENCIA: 
	https://www.elconfidencial.com/espana/cataluna/2019-10-20/quim-torra-vuelve-a-llamar-a-pedro-sanchez-sin-obtener-respuesta_2291844/

#########################################################

Algoritmo: SIMILITUD_COSENO_SPACY	 Atributos: titularNoticia

2019-02-15T04:00:00Z	https://www.elconfidencial.com/espana/2019-02-15/juicio-proces-vox-junqueras-forn-acusacion_1826934/
2019-02-14T04:00:00Z	https://www.elconfidencial.com/espana/2019-02-14/juicio-proces-tribunal-admitira-algunas-peticiones-defensas-ampliara-testifical_1824378/
2019-02-13T23:00:00Z	https://www.elconfidencial.com/espana/2019-02-14/juicio-proces-torra-dibujo-consellera-goirizelaia_1824394/
2019-02-13T09:04:00Z	https://www.elconfidencial.com/espana/cataluna/2019-02-13/torra-sanchez-21puntos-juicio-proces_1822378/
2019-02-13T04:00:00Z	https://www.elconfidencial.com/espana/2019-02-13/mundo-junqueras-torra-juicio-proces-bano_1822062/
2019-02-12T04:00:00Z	https://www.elconfidencial.com/mundo/europa/2019-02-12/nervios-en-bruselas-ante-la-estrategia-de-may-mientras-el-brexit-entra-en-zona-de-riesgo_1818726/
2019-02-11T04:00:00Z	https://www.elconfidencial.com/espana/2019-02-11/vox-juicio-proces-rajoy-independentistas_1814574/
2019-02-06T12:46:00Z	https://www.elconfidencial.com/mundo/europa/2019-02-06/tusk-se-pregunta-como-sera-el-lugar-reservado-en-el-infierno-a-los-arquitectos-del-brexit_1808006/
2019-01-30T23:00:00Z	https://www.elconfidencial.com/mundo/europa/2019-01-31/la-ue-da-un-portazo-a-las-peticiones-de-may-en-el-brexit-antes-incluso-de-que-pueda-realizarlas_1794122/

#########################################################

Algoritmo: SIMILITUD_COSENO_SPACY	 Atributos: keywordsNoticia

2019-10-19T03:00:00Z	https://www.elconfidencial.com/tecnologia/2019-10-19/tsunami-democratic-aepd-app-privacidad-proces-barcelona-sentencia_2289399/
2019-10-19T03:00:00Z	https://www.elconfidencial.com/elecciones-generales/2019-10-19/psoe-enquistamiento-tension-cataluna-castigo-pedro-sanchez-10n_2290628/
2019-10-18T23:25:00Z	https://www.elconfidencial.com/espana/cataluna/2019-10-19/sentencia-proces-directo-hora-barcelona-huelga-cataluna-434_2287187/
2019-10-18T11:51:00Z	https://www.elconfidencial.com/espana/cataluna/2019-10-18/huelga-barcelona-proces-tiendas-manifestaciones-221_2289779/
2019-10-15T15:42:00Z	https://www.elconfidencial.com/espana/cataluna/2019-10-15/sentencia-proces-torra-contradiicones-llamar-protesta-enviar-mossos_2284292/
2019-10-15T13:50:00Z	https://www.elconfidencial.com/tecnologia/2019-10-15/sentencia-fakes-imagenes-falsas-manifestaciones-656_2283279/
2019-10-15T03:00:00Z	https://www.elconfidencial.com/espana/2019-10-15/sentencia-proces-euroorden-puigdemont_2282663/
2019-10-15T03:00:00Z	https://www.elconfidencial.com/espana/cataluna/2019-10-15/sentencia-proces-caos-aeropuerto-guardiola-eco-europa-142_2282963/
2019-10-14T20:53:00Z	https://www.elconfidencial.com/espana/2019-10-14/manifestaciones-sentencia-proces-video-cargas_2282984/
2019-10-14T18:50:00Z	https://www.elconfidencial.com/espana/2019-10-14/gobierno-reune-diplomaticos-fake-news_2282863/
2019-10-14T18:21:00Z	https://www.elconfidencial.com/espana/cataluna/2019-10-14/sentencia-proces-valtonic-vox-girona-bandera-espana-763_2282864/
2019-10-14T14:44:00Z	https://www.elconfidencial.com/espana/cataluna/2019-10-14/carles-puigdemont-reaccion-sentencia-proces_2282383/
2019-10-14T11:01:00Z	https://www.elconfidencial.com/espana/cataluna/2019-10-14/sentencia-proces-oriol-junqueras-justicia-venganza_2281872/
2019-10-14T03:00:00Z	https://www.elconfidencial.com/mundo/europa/2019-10-14/sentencia-proces-espana-bruselas-lectura-cataluna_2280471/
2019-10-13T03:00:00Z	https://www.elconfidencial.com/espana/2019-10-13/el-gobierno-preve-escenarios-fallo-apoyo-total-pp_2280512/
2019-10-13T03:00:00Z	https://www.elconfidencial.com/espana/2019-10-13/sentencia-proces-condenas-acusados-supremo_2280491/
2019-10-08T15:02:00Z	https://www.elconfidencial.com/espana/cataluna/2019-10-08/mossos-cataluna-protestas-seguridad-efectivos-391_2274148/
2019-10-08T12:06:00Z	https://www.elconfidencial.com/elecciones-generales/2019-10-08/pedro-sanchez-plan-agricultores-ganaderos-guerra-arancelaria-trump_2273859/
2019-10-08T03:00:00Z	https://www.elconfidencial.com/espana/2019-10-08/tribunal-proces-penas-acusados-sentencia_2272348/
2019-10-06T15:48:00Z	https://www.elconfidencial.com/elecciones-generales/2019-10-06/casado-sanchez-rivera-psoe-pactos-desbloqueo_2271004/
2019-10-06T11:20:00Z	https://www.elconfidencial.com/elecciones-generales/2019-10-06/pedro-sanchez-mitin-barakaldo-proclamacion-idoia-mendia_2270811/
2019-10-06T08:07:00Z	https://www.elconfidencial.com/elecciones-generales/2019-10-06/vox-en-vistalegre_2270696/
2019-10-06T03:00:00Z	https://www.elconfidencial.com/elecciones-generales/2019-10-06/barones-psoe-expectativas-ferraz-poco-margen-mejora_2270592/
2019-10-05T18:18:00Z	https://www.elconfidencial.com/mundo/europa/2019-10-05/tumba-mussolini-franco-italia_2262451/
2019-10-05T17:47:00Z	https://www.elconfidencial.com/elecciones-generales/2019-10-05/sanchez-replica-a-rivera-que-pide-que-no-bloquee_2270516/
2019-10-05T10:47:00Z	https://www.elconfidencial.com/espana/cataluna/2019-10-05/scc-cataluna-no-necesita-marchas-en-sentencia-proces_2270264/
2019-10-05T03:00:00Z	https://www.elconfidencial.com/espana/2019-10-05/vox-presume-vistalegre-ii-entradas-vendidas-record_2269740/
2019-10-02T18:15:00Z	https://www.elconfidencial.com/espana/cataluna/2019-10-02/asi-prepara-respuesta-sentencia-proces-978_2266615/
2019-06-13T03:00:00Z	https://www.elconfidencial.com/espana/2019-06-13/juicio-proces-testimonios-clave-sentencia_2068477/
2019-04-30T03:00:00Z	https://www.elconfidencial.com/economia/2019-04-30/proximo-ministro-economia-sanchez-nombres_1973082/
2019-04-29T21:44:00Z	https://www.elconfidencial.com/economia/2019-04-29/ceoe-pide-pp-ciudadanos-abstencion-gobierno-sanchez_1972978/
2019-04-29T15:42:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-29/ejecutiva-psoe-pedro-sanchez-pactos-poselectorales-cs_1972670/
2019-04-29T14:49:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-29/directo-participacion-elecciones-generales_1959478/
2019-04-29T10:24:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-29/elecciones-generales-erc-peticiones-pacto-sanchez_1971462/
2019-04-29T10:15:00Z	https://www.elconfidencial.com/tecnologia/2019-04-29/secreto-recuento-rapido-esapana-votos-elecciones_1971414/
2019-04-29T09:40:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-29/elecciones-generales-sondeos-psoe-efecto-vox-tezanos_1970666/
2019-04-29T03:00:00Z	https://www.elconfidencial.com/espana/2019-04-29/diputados-y-presos-los-cinco-candidatos-en-preventiva-por-el-proces-sacan-escano_1970350/
2019-04-28T21:29:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-28/casado-pp-elecciones-vox-pactos-derecha_1970458/
2019-04-28T20:09:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-28/vox-reaccion_1970262/
2019-04-28T18:21:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-28/elecciones-generales-ciudadanos-sondeos-resultados_1969870/
2019-04-27T19:26:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-27/financiacion-campana-generales-28a-partidos_1966942/
2019-04-26T19:19:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-26/elecciones-rivera-ciudadanos-campanada_1967442/
2019-04-26T19:08:00Z	https://www.elconfidencial.com/tecnologia/2019-04-26/jugada-ultima-hora-partido-popular-whatsapp-envia-sms_1967222/
2019-04-26T03:00:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-26/elecciones-generales-28a-vox-jubilados-cordon-sanitario_1963830/
2019-04-25T20:08:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-25/sede-psoe-madrid-atacada-afilio-pedro-sanchez_1964458/
2019-04-25T19:37:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-25/campana-electoral-28a-sanchez-rivera-mitin-barcelona_1964402/
2019-04-25T17:32:00Z	https://www.elconfidencial.com/espana/comunidad-valenciana/2019-04-25/pedro-duque-astronauta-campana-alicante_1962198/
2019-04-25T08:08:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-25/rivera-garrido-desayuno-facil-es-acomodarse_1962162/
2019-04-25T03:00:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-25/gentili-artifice-exito-iglesias-debate_1961066/
2019-04-24T11:11:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-24/viaje-abstencion-san-juan-aznalfarache-sanchez-iglesias_1956962/
2019-04-24T10:00:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-24/expertos-debate-atresmedia-sorpresa-tono-iglesias-agresividad-no-basto_1960126/
2019-04-24T03:00:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-24/grandes-ataques-debate-atresmedia-tesis-libros-rivera-sanchez_1958990/
2019-04-24T03:00:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-24/debate-atresmedia-iglesias-sanchez-casado-rivera_1958894/
2019-04-22T18:24:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-22/debate-politica-territorial_1956006/
2019-04-22T03:00:00Z	https://www.elconfidencial.com/empresas/2019-04-22/el-51-de-los-directivos-cree-que-el-psoe-ganara-las-elecciones-y-vox-superara-a-cs_1951882/
2019-04-22T03:00:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-22/pacto-gobierno-preferido-psoe-podemos-encuesta_1953718/
2019-04-22T03:00:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-22/tracking-confidencial-resultados-encuestas-elecciones-generales_1953374/
2019-04-21T18:54:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-21/candidatos-preparacion-debate-electoral_1950562/
2019-04-21T03:00:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-21/tierra-hostil-valle-de-los-caidos-pedro-sanchez-psoe-franco_1952802/
2019-04-21T03:00:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-21/laura-borras-habitacion-guerra-trinchera-politica_1951922/
2019-04-20T09:15:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-20/pedro-sanchez-mitin-ecuador-campana-alicante-ximo-puig_1952386/
2019-04-20T03:00:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-20/vtc-taxi-elecciones-voto-castigo-derecha-pp_1948954/
2019-04-19T03:00:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-19/tracking-el-confidencial-octava-oleada-abstencionistas-indecisos_1951466/
2019-04-18T03:00:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-18/entrevista-albert-rivera-sensato-gobierno-ciudadanos-pp-tripartito-ocurrencias_1950678/
2019-04-17T13:05:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-17/detencion-yihadista-atentado-semana-santa-sevilla-elecciones-28a_1946866/
2019-04-16T03:00:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-16/epa-marzo-paro-campana-elecciones-generales_1944714/
2019-04-15T14:26:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-15/grupo-whatsapp-pedro-sanchez-lona-calle-goya-ciudadanos_1945138/
2019-04-15T09:48:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-15/escraches-pais-vasco-campana-ciudadanos-vox-sin-estrategia-comun_1943930/
2019-04-04T09:25:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-04/elecciones-generales-26j-encuestas-elecciones-28a_1212490/
2019-03-25T18:49:00Z	https://www.elconfidencial.com/espana/cataluna/2019-03-25/nueva-querella-torra-lazo-generalitat_1902950/
2019-03-25T12:47:00Z	https://www.elconfidencial.com/espana/2019-03-25/juicio-proces-marchena-guardia-civil-evasivas_1901994/
2019-03-24T04:00:00Z	https://www.elconfidencial.com/espana/2019-03-24/juicio-proces-preguntas-frikis-tribunal-supremo_1898374/
2019-03-22T11:24:00Z	https://www.elconfidencial.com/mundo/europa/2019-03-22/la-foto-que-muestra-la-trastienda-de-la-ue-asi-se-alcanza-un-acuerdo-en-europa_1897962/
2019-03-22T04:00:00Z	https://www.elconfidencial.com/espana/2019-03-22/juicio-proces-marchena-twitter-videos-guardia-civil_1897310/
2019-03-22T04:00:00Z	https://www.elconfidencial.com/espana/2019-03-22/violencia-lagrimas-guardia-civil-desprecio-1-o_1896590/
2019-03-21T15:30:00Z	https://www.elconfidencial.com/espana/2019-03-21/juicio-proces-directo-guardia-civil-financiacion-web-referendum_1890442/
2019-03-20T19:54:00Z	https://www.elconfidencial.com/espana/cataluna/2019-03-20/torra-no-dara-la-orden-de-retirar-los-lazos-pero_1894510/
2019-03-20T12:24:00Z	https://www.elconfidencial.com/espana/2019-03-20/juicio-proces-trapero-forn-correos-mossos-1o_1893278/
2019-03-20T09:29:00Z	https://www.elconfidencial.com/espana/2019-03-20/juicio-proces-quim-torra-guardia-civil-papeletas_1892642/
2019-03-20T04:00:00Z	https://www.elconfidencial.com/espana/2019-03-20/edmundo-bal-ciudadadanos-abogacia-estado-proces_1891146/
2019-03-19T13:12:00Z	https://www.elconfidencial.com/espana/2019-03-19/juicio-proces-marchena-alonso-martinez-defensas_1891346/
2019-03-18T20:33:00Z	https://www.elconfidencial.com/espana/2019-03-18/ciudadanos-tv3-manifestacion-independentista-madrid_1890202/
2019-03-16T19:08:00Z	https://www.elconfidencial.com/espana/2019-03-16/manifestacion-independentista-madrid-asistencia_1886726/
2019-03-16T04:00:00Z	https://www.elconfidencial.com/espana/2019-03-16/manifestacion-independentista-madrid-recorrido_1885738/
2019-03-15T09:58:00Z	https://www.elconfidencial.com/espana/2019-03-15/defensas-proces-queja-marchena-suplanto-acusaciones_1884002/
2019-03-15T04:00:00Z	https://www.elconfidencial.com/espana/2019-03-15/juicio-proces-marchena-pregunta-trapero-mossos_1883350/
2019-03-14T13:35:00Z	https://www.elconfidencial.com/espana/2019-03-14/juicio-proces-trapero-mossos-error-calculo-fiscalia_1881778/
2019-03-14T04:00:00Z	https://www.elconfidencial.com/espana/2019-03-14/juicio-proces-falso-testimonio-trapero-testigo_1879942/
2019-03-13T11:11:00Z	https://www.elconfidencial.com/espana/2019-03-13/accion-exterior-diplocat-albert-royo-juicio-proces_1878554/
2019-02-19T10:18:00Z	https://www.elconfidencial.com/espana/2019-02-19/juicio-proces-turull-declaracion-fiscalia_1834162/
2019-02-15T21:02:00Z	https://www.elconfidencial.com/espana/2019-02-15/la-ministra-de-justicia-se-fotografia-en-barcelona-con-uno-de-los-abogados-del-proces_1829350/
2019-02-15T04:00:00Z	https://www.elconfidencial.com/espana/2019-02-15/juicio-proces-vox-junqueras-forn-acusacion_1826934/
2019-02-13T09:04:00Z	https://www.elconfidencial.com/espana/cataluna/2019-02-13/torra-sanchez-21puntos-juicio-proces_1822378/
2019-02-12T09:56:00Z	https://www.elconfidencial.com/espana/2019-02-12/juicio-proces-directo-supremo_1818422/
2019-02-11T04:00:00Z	https://www.elconfidencial.com/espana/2019-02-11/el-tribunal-del-proces-los-siete-magistrados-que-juzgaran-a-los-politicos-catalanes_1812202/
2019-02-02T12:40:00Z	https://www.elconfidencial.com/espana/2019-02-02/claves-juicio-proces-acusados-testigos-guardia-civil-auto_1799990/

#########################################################

Algoritmo: SIMILITUD_COSENO_SPACY	 Atributos: keywordsNoticia + resumenNoticia

2019-10-19T03:00:00Z	https://www.elconfidencial.com/elecciones-generales/2019-10-19/psoe-enquistamiento-tension-cataluna-castigo-pedro-sanchez-10n_2290628/
2019-10-18T23:25:00Z	https://www.elconfidencial.com/espana/cataluna/2019-10-19/sentencia-proces-directo-hora-barcelona-huelga-cataluna-434_2287187/
2019-10-18T11:51:00Z	https://www.elconfidencial.com/espana/cataluna/2019-10-18/huelga-barcelona-proces-tiendas-manifestaciones-221_2289779/
2019-10-16T08:40:00Z	https://www.elconfidencial.com/espana/2019-10-16/gobierno-helicoptero-franco-exhumacion-supremp_2285459/
2019-10-15T15:42:00Z	https://www.elconfidencial.com/espana/cataluna/2019-10-15/sentencia-proces-torra-contradiicones-llamar-protesta-enviar-mossos_2284292/
2019-10-15T03:00:00Z	https://www.elconfidencial.com/espana/cataluna/2019-10-15/sentencia-proces-caos-aeropuerto-guardiola-eco-europa-142_2282963/
2019-10-14T20:53:00Z	https://www.elconfidencial.com/espana/2019-10-14/manifestaciones-sentencia-proces-video-cargas_2282984/
2019-10-14T18:50:00Z	https://www.elconfidencial.com/espana/2019-10-14/gobierno-reune-diplomaticos-fake-news_2282863/
2019-10-14T14:44:00Z	https://www.elconfidencial.com/espana/cataluna/2019-10-14/carles-puigdemont-reaccion-sentencia-proces_2282383/
2019-10-14T11:01:00Z	https://www.elconfidencial.com/espana/cataluna/2019-10-14/sentencia-proces-oriol-junqueras-justicia-venganza_2281872/
2019-10-14T03:00:00Z	https://www.elconfidencial.com/mundo/europa/2019-10-14/sentencia-proces-espana-bruselas-lectura-cataluna_2280471/
2019-10-13T12:34:00Z	https://www.elconfidencial.com/espana/2019-10-13/el-gobierno-precisa-la-fecha-de-la-exhumacion-de-franco-21-o-22-de-octubre_2280839/
2019-10-13T03:00:00Z	https://www.elconfidencial.com/espana/2019-10-13/el-gobierno-preve-escenarios-fallo-apoyo-total-pp_2280512/
2019-10-11T20:56:00Z	https://www.elconfidencial.com/elecciones-generales/2019-10-11/gobierno-prior-valle-caidos-exhumacion-francisco-franco-10-n_2279832/
2019-10-11T12:54:00Z	https://www.elconfidencial.com/espana/cataluna/2019-10-11/antidisturbios-barcelona-sentencia-proces-protestas_2278027/
2019-10-09T10:50:00Z	https://www.elconfidencial.com/espana/2019-10-09/prior-administrador-exhumacion-francisco-franco-gobierno-337_2275355/
2019-10-08T15:02:00Z	https://www.elconfidencial.com/espana/cataluna/2019-10-08/mossos-cataluna-protestas-seguridad-efectivos-391_2274148/
2019-10-08T12:06:00Z	https://www.elconfidencial.com/elecciones-generales/2019-10-08/pedro-sanchez-plan-agricultores-ganaderos-guerra-arancelaria-trump_2273859/
2019-10-08T03:00:00Z	https://www.elconfidencial.com/espana/2019-10-08/franco-cataluna-inmigracion-psoe-vox-pinza-pp-cs-podemos_2272128/
2019-10-08T03:00:00Z	https://www.elconfidencial.com/espana/2019-10-08/tribunal-proces-penas-acusados-sentencia_2272348/
2019-10-06T19:32:00Z	https://www.elconfidencial.com/elecciones-generales/2019-10-06/ana-pastor-numero-dos-casado-relega-suarez-illana_2271144/
2019-10-06T15:48:00Z	https://www.elconfidencial.com/elecciones-generales/2019-10-06/casado-sanchez-rivera-psoe-pactos-desbloqueo_2271004/
2019-10-06T11:20:00Z	https://www.elconfidencial.com/elecciones-generales/2019-10-06/pedro-sanchez-mitin-barakaldo-proclamacion-idoia-mendia_2270811/
2019-10-06T03:00:00Z	https://www.elconfidencial.com/elecciones-generales/2019-10-06/barones-psoe-expectativas-ferraz-poco-margen-mejora_2270592/
2019-10-05T17:47:00Z	https://www.elconfidencial.com/elecciones-generales/2019-10-05/sanchez-replica-a-rivera-que-pide-que-no-bloquee_2270516/
2019-10-05T10:47:00Z	https://www.elconfidencial.com/espana/cataluna/2019-10-05/scc-cataluna-no-necesita-marchas-en-sentencia-proces_2270264/
2019-10-05T03:00:00Z	https://www.elconfidencial.com/espana/2019-10-05/vox-presume-vistalegre-ii-entradas-vendidas-record_2269740/
2019-10-04T08:52:00Z	https://www.elconfidencial.com/espana/2019-10-04/pp-defensa-ayuso-alusion-quema-iglesias-36-calor-debate_2268859/
2019-10-02T18:15:00Z	https://www.elconfidencial.com/espana/cataluna/2019-10-02/asi-prepara-respuesta-sentencia-proces-978_2266615/
2019-10-02T11:30:00Z	https://www.elconfidencial.com/elecciones-generales/2019-10-02/entrevista-pedro-sanchez-avance-ley-seguridad-nacional-155_2265500/
2019-04-30T03:00:00Z	https://www.elconfidencial.com/economia/2019-04-30/proximo-ministro-economia-sanchez-nombres_1973082/
2019-04-30T03:00:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-30/psoe-pactos-poselectorales-podemos-cs-investidura-26m_1973442/
2019-04-29T21:44:00Z	https://www.elconfidencial.com/economia/2019-04-29/ceoe-pide-pp-ciudadanos-abstencion-gobierno-sanchez_1972978/
2019-04-29T19:01:00Z	https://www.elconfidencial.com/elecciones-municipales-y-autonomicas/2019-04-29/angel-garrido-ciudadanos-acta-asamblea-madrid-pp_1973334/
2019-04-29T17:59:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-29/elecciones-generales-pactos-podemos-sanchez-municipios-comunidades_1972742/
2019-04-29T15:42:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-29/ejecutiva-psoe-pedro-sanchez-pactos-poselectorales-cs_1972670/
2019-04-29T11:43:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-29/ciudadanos-no-pacta-psoe-lideramos-oposicion_1971966/
2019-04-29T10:24:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-29/elecciones-generales-erc-peticiones-pacto-sanchez_1971462/
2019-04-29T10:15:00Z	https://www.elconfidencial.com/tecnologia/2019-04-29/secreto-recuento-rapido-esapana-votos-elecciones_1971414/
2019-04-29T03:00:00Z	https://www.elconfidencial.com/espana/2019-04-29/diputados-y-presos-los-cinco-candidatos-en-preventiva-por-el-proces-sacan-escano_1970350/
2019-04-29T03:00:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-29/sanchez-gana-se-hunde-casado-y-el-gobierno-dependera-de-junqueras-o-rivera_1970690/
2019-04-28T21:29:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-28/casado-pp-elecciones-vox-pactos-derecha_1970458/
2019-04-28T20:22:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-28/ganador-votos-escanos-porcentaje-resultado_1966390/
2019-04-28T20:09:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-28/vox-reaccion_1970262/
2019-04-27T11:03:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-27/elecciones-generales-felipe-sicilia-candidato-perfil-psoe-jaen_1964254/
2019-04-27T11:03:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-27/teresa-rodriguez-garcia-molina-alcaldes-los-ausentes-en-la-campana-de-podemos_1965654/
2019-04-26T19:19:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-26/elecciones-rivera-ciudadanos-campanada_1967442/
2019-04-26T19:08:00Z	https://www.elconfidencial.com/tecnologia/2019-04-26/jugada-ultima-hora-partido-popular-whatsapp-envia-sms_1967222/
2019-04-26T18:57:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-26/activistas-femen-irrumpcion-acto-cierre-camapana-vox-madrid_1967338/
2019-04-26T18:32:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-26/cierre-campana-28a-pedro-sanchez-valencia_1967030/
2019-04-26T16:06:00Z	https://www.elconfidencial.com/espana/pais-vasco/2019-04-26/silvia-garcia-baglietto-candidata-pp-guipuzcoa-elecciones-generales-vox-municipales-irun-inigo-arcauz_1966914/
2019-04-26T03:00:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-26/perfil-marta-rivera-numero1-coruna-elecciones-incondicional_1955966/
2019-04-25T17:32:00Z	https://www.elconfidencial.com/espana/comunidad-valenciana/2019-04-25/pedro-duque-astronauta-campana-alicante_1962198/
2019-04-25T08:08:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-25/rivera-garrido-desayuno-facil-es-acomodarse_1962162/
2019-04-24T19:26:00Z	https://www.elconfidencial.com/espana/andalucia/2019-04-24/pablo-casado-elecciones-generales-2019-pp_1961542/
2019-04-24T11:11:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-24/viaje-abstencion-san-juan-aznalfarache-sanchez-iglesias_1956962/
2019-04-24T10:00:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-24/expertos-debate-atresmedia-sorpresa-tono-iglesias-agresividad-no-basto_1960126/
2019-04-24T03:00:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-24/debate-atresmedia-iglesias-sanchez-casado-rivera_1958894/
2019-04-24T03:00:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-24/grandes-ataques-debate-atresmedia-tesis-libros-rivera-sanchez_1958990/
2019-04-23T22:13:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-24/debate-electoral-pastor-valles-escaramuza_1958946/
2019-04-22T18:24:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-22/debate-politica-territorial_1956006/
2019-04-22T03:00:00Z	https://www.elconfidencial.com/empresas/2019-04-22/el-51-de-los-directivos-cree-que-el-psoe-ganara-las-elecciones-y-vox-superara-a-cs_1951882/
2019-04-21T18:54:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-21/candidatos-preparacion-debate-electoral_1950562/
2019-04-21T03:00:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-21/tierra-hostil-valle-de-los-caidos-pedro-sanchez-psoe-franco_1952802/
2019-04-21T03:00:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-21/laura-borras-habitacion-guerra-trinchera-politica_1951922/
2019-04-20T09:15:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-20/pedro-sanchez-mitin-ecuador-campana-alicante-ximo-puig_1952386/
2019-04-20T03:00:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-20/vtc-taxi-elecciones-voto-castigo-derecha-pp_1948954/
2019-04-19T03:00:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-19/ordago-pedro-sanchez-debate-electoral-rtve-atresmedia_1951434/
2019-04-18T11:31:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-18/oposicion-gobierno-psoe-debate-atresmedia-23-abril_1951086/
2019-04-18T03:00:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-18/charla-candidato-rivera-hace-meses-que-no-hablo-con-sanchez_1950838/
2019-04-17T13:05:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-17/detencion-yihadista-atentado-semana-santa-sevilla-elecciones-28a_1946866/
2019-04-16T03:00:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-16/epa-marzo-paro-campana-elecciones-generales_1944714/
2019-04-15T14:26:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-15/grupo-whatsapp-pedro-sanchez-lona-calle-goya-ciudadanos_1945138/
2019-04-15T09:48:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-15/escraches-pais-vasco-campana-ciudadanos-vox-sin-estrategia-comun_1943930/
2019-04-14T16:48:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-14/jorge-fernandez-diaz-policia-patriotica-memorias-pp_1943010/
2019-03-25T18:49:00Z	https://www.elconfidencial.com/espana/cataluna/2019-03-25/nueva-querella-torra-lazo-generalitat_1902950/
2019-03-25T12:47:00Z	https://www.elconfidencial.com/espana/2019-03-25/juicio-proces-marchena-guardia-civil-evasivas_1901994/
2019-03-22T11:24:00Z	https://www.elconfidencial.com/mundo/europa/2019-03-22/la-foto-que-muestra-la-trastienda-de-la-ue-asi-se-alcanza-un-acuerdo-en-europa_1897962/
2019-03-22T04:00:00Z	https://www.elconfidencial.com/espana/2019-03-22/juicio-proces-marchena-twitter-videos-guardia-civil_1897310/
2019-03-20T19:54:00Z	https://www.elconfidencial.com/espana/cataluna/2019-03-20/torra-no-dara-la-orden-de-retirar-los-lazos-pero_1894510/
